days,titles,places,bylines,tags,urls
5-Nov-18,"Grief, anger overflow as families confront a silent Lion Air","JAKARTA, Indonesia ",By NINIEK KARMINI,AP Top News,https://apnews.com/55ebceadd2704093ad6b221e76d06b49
5-Nov-18,Argentina¡¯s Fernandez still inspires loyalty among many,"BUENOS AIRES, Argentina ",By ALMUDENA CALATRAVA,Financial markets,https://apnews.com/e4d3aaf8fc394cb0854ddc8e23839644
5-Nov-18,"The Latest: Trump, Obama give closing arguments for midterms",WASHINGTON ,,Illegal immigration,https://apnews.com/5f03e533a2a043098bab9c8dbb72291d
5-Nov-18,Writer Haruki Murakami plans archive at Japanese university,TOKYO ,By MARI YAMAGUCHI,AP Top News,https://apnews.com/3567d70b20c847ed9c9fd68e525a1283
5-Nov-18,"In Georgia, 11th-hour daggers over voting system",ATLANTA ,By BILL BARROW and FRANK BAJAK,Stacey Abrams,https://apnews.com/0de14be497384a4aa7fea1835053e9ad
5-Nov-18,Campaigns make final push to galvanize voters for midterms,"TEMPE, Ariz. ",By NICHOLAS RICCARDI,Martha McSally,https://apnews.com/503cf6426f1f4e23a8bae72fe3ad9743
5-Nov-18,"Wisconsin town mourns 3 Girl Scouts, 1 adult killed in crash","LAKE HALLIE, Wis. ",,Chippewa Falls,https://apnews.com/de0abc4699bf40c9b8e79a753f6e2bdd
5-Nov-18,"Obama praises Donnelly, says voters don¡¯t want ¡®a yes man¡¯","GARY, Ind. ",By BRIAN SLODYSKO and SARA BURNETT,AP Top News,https://apnews.com/0279e040db99451ca8f3b9b277b9b85b
5-Nov-18,Migrant caravan sets sight on getting to Mexico City,"CORDOBA, Mexico ",By SONIA PEREZ D. and MARK STEVENSON,AP Top News,https://apnews.com/d12be31914c04c6ba4b66c5c112da59f
5-Nov-18,"Obama, Trump offer dueling final pitches to midterm voters",WASHINGTON ,By KEN THOMAS,AP Top News,https://apnews.com/4e9dc71a67494374b52c234ecc435143
5-Nov-18,Migrants camped at border worry caravans will shut them out,"MATAMOROS, Mexico ",By NOMAAN MERCHANT,AP Top News,https://apnews.com/f4d231f3a56c4156a06650245215f92d
5-Nov-18,Trump says he¡¯s focused on Senate with 2 days until midterms,"CHATTANOOGA, Tenn. ",By ZEKE MILLER and JILL COLVIN,Chattanooga,https://apnews.com/26e55a84885a4224922c1891b413a9ad
5-Nov-18,"Utah mayor, guard member killed by trainee in Afghanistan","NORTH OGDEN, Utah ",,Afghanistan,https://apnews.com/d17be963137b4445916ba185aed9df82
5-Nov-18,Air Force mascot falcon improving after injury at West Point,"AIR FORCE ACADEMY, Colo. ",,AP Top News,https://apnews.com/6a634a5ce03c4c46a0e4a4c7d9f4bdb0
4-Nov-18,Why it¡¯s still in Russia¡¯s interest to mess with US politics,PARIS ,By ANGELA CHARLTON,AP Top News,https://apnews.com/877c37d98203426ea222ddf20071f92d
4-Nov-18,Stone throwers face different fates around the globe,JERUSALEM ,By JOSEF FEDERMAN,AP Top News,https://apnews.com/6246e5cca4914723b01c2d965b70df36
4-Nov-18,Man says he wrestled with gunman during yoga studio shooting,"TALLAHASSEE, Fla. ",By GARY FINEOUT and TAMARA LUSH,AP Top News,https://apnews.com/e5e3412736714ff9b8b886c67c9c0988
4-Nov-18,"Analysis: Dems whiffed in 2016, so what if they fail again?",WASHINGTON ,By JULIE PACE,AP Top News,https://apnews.com/03153118747b4acd8aca437e244e749e
4-Nov-18,AP Top 25: West Virginia up to 7 after 10 ranked teams lose,No. 7 West Virginia re-entered the top 10 of The Associated Press college football poll after another weekend in which the number of ranked teams losing reached double digits.,By RALPH D. RUSSO,AP Top News,https://apnews.com/0eae130cf54a4f0785054a359ebe9ebc
4-Nov-18,Reputation precedes ¡®El Chapo¡¯ as US trial approaches,NEW YORK ,By TOM HAYS,AP Top News,https://apnews.com/a1665b20f0834168a6fba796d5ea244d
4-Nov-18,Synagogue shooting worst of many hateful attacks in October,"Kevyn Perkins stopped cold when he saw the letters scrawled on the door to his dorm:  ¡°N----- go back¡± it said, inked in messy red marker. First he was blinded by confusion. Then rage. And then all he could think about was dropping out, finding a new school, escaping for good.",By COLLIN BINKLEY,Religion,https://apnews.com/27bbb80f33fd404e9b8d95efd34e9fb1
4-Nov-18,Voters in Pacific territory choose to keep ties with France,"NOUMEA, New Caledonia ",By CHARLOTTE ANTOINE,New Caledonia,https://apnews.com/cf482ff953ef403e99b9bdf6baf6675d
4-Nov-18,Jewish nurse: I treated mass shooting suspect out of love,PITTSBURGH ,,Shootings,https://apnews.com/29359f3ffd0a410a962a31abe0ad140f
4-Nov-18,"Win or lose, Cruz and O¡¯Rourke may remain political forces","AUSTIN, Texas ",By WILL WEISSERT,AP Top News,https://apnews.com/c57186c10daf43c99087a52743af9945
4-Nov-18,"WWI centenary to be marked in London and Paris, not Berlin",BERLIN ,By DAVID RISING,AP Top News,https://apnews.com/2f41f82f1d1e40189057c229dcea1906
4-Nov-18,Trump presidency faces high stakes in midterm elections,WASHINGTON ,By ZEKE MILLER and CATHERINE LUCEY,AP Top News,https://apnews.com/1bd28b99d72246c185b1aaf66d1d4939
4-Nov-18,The Latest: Trump says Democrats have a ¡®wrecking ball¡¯,"PENSACOLA, Fla. ",,AP Top News,https://apnews.com/ea0b03390c2348cf9cca138db2852b07
3-Nov-18,"¡®Fantastic Beasts¡¯ stars: Grindelwald isn¡¯t Trump, exactly",LOS ANGELES ,By RYAN PEARSON,AP Top News,https://apnews.com/77a95b805a084aa2bba9dd4b26676f4d
3-Nov-18,Grammy-winning jazz trumpeter Roy Hargrove dies at age 49,LOS ANGELES ,By ANDREW DALTON,Entertainment,https://apnews.com/c8c8d9a7040543f6807f0b9e66d9dd88
3-Nov-18,Alec Baldwin says he didn¡¯t punch man in parking dispute,NEW YORK ,,AP Top News,https://apnews.com/baccd25c536642e5ae58b34a1a24b1f3
3-Nov-18,Christians in Egypt bury their dead after attack,"MINYA, Egypt ",By SAMY MAGDY and HAMZA HENDAWI,AP Top News,https://apnews.com/6065e1a2040d4b88a4c572bd1e601dfe
3-Nov-18,"Social media¡¯s misinformation battle: No winners, so far",NEW YORK ,By BARBARA ORTUTAY,AP Top News,https://apnews.com/1729336126a448549379beb364180e27
3-Nov-18,"For some, a vibrant US economy complicates voting decision","EXTON, Pennsylvania ",By JOSH BOAK,AP Top News,https://apnews.com/b84b5f26ec5e4d5481c5882922c591d8
3-Nov-18,¡®We are not killers:¡¯ Migrants in caravan respond to Trump,"DONAJI, Mexico ",By SONIA PEREZ D.,AP Top News,https://apnews.com/cab4b671fb6d44078ca4f78277d41782
3-Nov-18,A look at the troops being sent to US-Mexico border,WASHINGTON ,By ROBERT BURNS and LOLITA C. BALDOR,AP Top News,https://apnews.com/7e35aadd6f65499badb005a650ecdc06
3-Nov-18,Correction: Migrant Caravan story,"JUCHITAN, Mexico ",,AP Top News,https://apnews.com/e98cc446af3e4c83af8a353f2fdeccbd
3-Nov-18,Troop deployment creates tense atmosphere on US border,"BROWNSVILLE, Texas ",By NOMAAN MERCHANT,AP Top News,https://apnews.com/d5889a081f2a4c548d7bc789a4487b20
3-Nov-18,Trump vs. Obama in the final weekend of the midterms,WASHINGTON ,By KEN THOMAS,AP Top News,https://apnews.com/f63a7d801eb84559bfda89638b03f971
2-Nov-18,"Heat, exhaustion, illness: 1 day with the migrant caravan","PIJIJIAPAN, Mexico ",By JULIE WATSON,AP Top News,https://apnews.com/14b55fb12cc843b58a82b28cb30f8eb8
